org,hf_id
google,google
databricks,databricks
microsoft,microsoft
nousresearch,nousresearch
alibaba,qwen
mistral,mistralai
01 ai,01-ai
meta,meta-llama
allenai/uw,allenai
openchat,openchat
microsoft,wizardlmteam
internlm,internlm
