model,release_date
Intel/neural-chat-7b-v3-2,2023-11-21 05:34:25
Intel/neural-chat-7b-v3-3,2023-12-09 11:28:48
internlm/internlm2-1_8b,2024-01-30 14:59:31
internlm/internlm2-chat-1_8b,2024-01-30 13:52:48
internlm/internlm2_5-1_8b-chat,2024-07-30 11:49:12
internlm/internlm2_5-20b-chat,2024-07-30 11:57:15
internlm/internlm2_5-7b-chat,2024-06-27 13:01:58
LLM360/K2,2024-04-17 18:50:01
LLM360/K2-Chat,2024-05-22 14:46:53
lmsys/vicuna-13b-v1.3,2023-06-18 03:38:59
lmsys/vicuna-7b-v1.3,2023-06-18 03:36:42
lmsys/vicuna-7b-v1.5,2023-07-29 04:42:33
microsoft/DialoGPT-medium,2020-03-10 18:26:54
microsoft/Orca-2-13b,2023-11-21 01:49:01
microsoft/Orca-2-7b,2023-11-21 01:49:01
microsoft/phi-1,2023-09-10 04:10:58
microsoft/phi-1_5,2023-09-10 04:03:46
microsoft/phi-2,2023-12-13 21:19:59
microsoft/Phi-3-medium-128k-instruct,2024-05-02 10:03:15
microsoft/Phi-3-medium-4k-instruct,2024-05-02 09:58:16
microsoft/Phi-3-mini-128k-instruct,2024-04-22 09:31:14
microsoft/Phi-3-mini-4k-instruct,2024-04-22 09:21:56
microsoft/Phi-3-small-128k-instruct,2024-05-02 09:54:52
microsoft/Phi-3-small-8k-instruct,2024-05-02 07:50:29
microsoft/Phi-3.5-mini-instruct,2024-08-16 20:48:26
microsoft/Phi-3.5-MoE-instruct,2024-08-17 21:34:19
mistral-community/Mistral-7B-v0.2,2024-03-23 22:27:14
mistral-community/mixtral-8x22B-v0.3,2024-05-25 22:48:03
mlabonne/AlphaMonarch-7B,2024-02-14 14:59:24
mlabonne/Beyonder-4x7B-v3,2024-03-21 22:13:23
mlabonne/ChimeraLlama-3-8B-v2,2024-04-22 15:37:41
mlabonne/ChimeraLlama-3-8B-v3,2024-05-01 14:17:47
mlabonne/Daredevil-8B,2024-05-25 18:56:51
mlabonne/Daredevil-8B-abliterated,2024-05-26 14:32:53
mlabonne/Meta-Llama-3.1-8B-Instruct-abliterated,2024-07-24 21:42:33
mlabonne/NeuralBeagle14-7B,2024-01-15 19:09:41
mlabonne/NeuralDaredevil-8B-abliterated,2024-05-27 19:33:23
mlabonne/OrpoLlama-3-8B,2024-04-18 19:00:32
mlabonne/phixtral-2x2_8,2024-01-07 20:25:10
mosaicml/mpt-7b,2023-05-05 00:48:02
Nexusflow/NexusRaven-V2-13B,2023-12-11 06:26:58
NousResearch/Hermes-2-Pro-Llama-3-8B,2024-04-30 00:16:18
NousResearch/Hermes-2-Pro-Mistral-7B,2024-03-11 12:55:27
NousResearch/Hermes-2-Theta-Llama-3-8B,2024-05-05 09:14:29
NousResearch/Hermes-3-Llama-3.1-70B,2024-07-29 14:27:57
NousResearch/Hermes-3-Llama-3.1-8B,2024-07-28 06:00:58
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,2024-02-18 10:50:26
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,2024-01-11 06:14:47
NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,2023-12-26 03:37:01
NousResearch/Nous-Hermes-2-SOLAR-10.7B,2024-01-01 20:54:48
NousResearch/Nous-Hermes-llama-2-7b,2023-07-25 19:39:23
NousResearch/Yarn-Llama-2-13b-128k,2023-08-30 19:52:12
NousResearch/Yarn-Llama-2-7b-128k,2023-08-31 05:59:19
NousResearch/Yarn-Llama-2-7b-64k,2023-08-30 02:38:23
NousResearch/Yarn-Mistral-7b-128k,2023-10-31 13:15:14
NousResearch/Yarn-Mistral-7b-64k,2023-10-31 02:01:44
NousResearch/Yarn-Solar-10b-32k,2024-01-17 03:22:43
NousResearch/Yarn-Solar-10b-64k,2024-01-17 03:14:49
nvidia/Mistral-NeMo-Minitron-8B-Base,2024-08-19 21:39:52
Open-Orca/Mistral-7B-OpenOrca,2023-09-29 19:18:39
openai-community/gpt2,2019-02-18 10:36:15
openai-community/gpt2-large,2019-08-21 00:28:36
openai-community/gpt2-medium,2019-05-08 19:05:02
openai-community/gpt2-xl,2019-11-05 17:51:20
OpenAssistant/oasst-sft-1-pythia-12b,2023-03-09 16:47:26
openchat/openchat-3.5-0106,2024-01-07 08:17:09
openchat/openchat-3.5-1210,2023-12-12 07:40:14
openchat/openchat-3.6-8b-20240522,2024-05-07 06:24:03
openchat/openchat_3.5,2023-10-30 05:59:34
openchat/openchat_v3.2,2023-07-30 10:12:00
openchat/openchat_v3.2_super,2023-09-04 03:06:59
PygmalionAI/pygmalion-6b,2023-01-07 18:43:33
Qwen/Qwen1.5-0.5B,2024-01-22 16:30:11
Qwen/Qwen1.5-0.5B-Chat,2024-01-31 07:08:48
Qwen/Qwen1.5-1.8B,2024-01-22 16:53:32
Qwen/Qwen1.5-1.8B-Chat,2024-01-30 17:20:21
Qwen/Qwen1.5-110B,2024-04-25 07:30:56
Qwen/Qwen1.5-110B-Chat,2024-04-25 14:30:48
Qwen/Qwen1.5-14B,2024-01-22 17:15:10
Qwen/Qwen1.5-14B-Chat,2024-01-30 17:20:42
Qwen/Qwen1.5-32B,2024-04-01 06:19:21
Qwen/Qwen1.5-32B-Chat,2024-04-01 06:18:43
Qwen/Qwen1.5-4B,2024-01-22 17:01:16
Qwen/Qwen1.5-4B-Chat,2024-01-30 17:20:32
Qwen/Qwen1.5-7B,2024-01-22 17:14:21
Qwen/Qwen1.5-7B-Chat,2024-01-30 17:20:37
Qwen/Qwen1.5-MoE-A2.7B,2024-02-29 04:52:16
