chatbot_arena_name,arena_score,open_llm_name,model,IFEval Raw,BBH Raw,MATH Lvl 5 Raw,GPQA Raw,MUSR Raw,MMLU-PRO Raw,release_date,N,D
meta-llama/Llama-2-13b-chat-hf,1063,meta-llama/Llama-2-13b-chat-hf,llama2_13b,0.4,0.33,0.01,0.23,0.4,0.19,2023-07-18,13,2
upstage/SOLAR-10.7B-Instruct-v1.0,1062,upstage/SOLAR-10.7B-Instruct-v1.0,solar_10_7b,0.47,0.52,0,0.31,0.39,0.31,2023-12-13,10.7,
WizardLM/WizardLM-13B-V1.2,1058,WizardLMTeam/WizardLM-13B-V1.2,wizardlm_13b_v1_2,0.34,0.45,0.02,0.26,0.44,0.25,2023-07-25,13,2
Meta-Llama-3.2-1B-Instruct,1054,meta-llama/Llama-3.2-1B-Instruct,llama3_2_1b,0.57,0.35,0.03,0.28,0.33,0.17,2024-09-24,1,9
HuggingFaceH4/zephyr-7b-beta,1053,HuggingFaceH4/zephyr-7b-beta,zephyr_7b_beta,0.5,0.43,0.03,0.29,0.39,0.28,2023-10-27,7,
HuggingFaceH4/zephyr-7b-alpha,1041,HuggingFaceH4/zephyr-7b-alpha,zephyr_7b_alpha,0.52,0.46,0.02,0.3,0.39,0.28,2023-10-14,7,
google/gemma-7b-it,1037,google/gemma-7b-it,gemma_7b,0.39,0.36,0.02,0.28,0.43,0.17,2024-02-21,7,6
Phi-3-Mini-128k-Instruct,1037,microsoft/Phi-3-mini-128k-instruct,phi3_mini_128k,0.6,0.56,0.1,0.32,0.39,0.37,2024-04-23,3.8,4.9
meta-llama/Llama-2-7b-chat-hf,1037,meta-llama/Llama-2-7b-chat-hf,llama2_7b,0.4,0.31,0.01,0.25,0.37,0.17,2023-07-18,7,2
google/gemma-1.1-2b-it,1021,google/gemma-1.1-2b-it,gemma_1_1_2b,0.31,0.32,0,0.27,0.34,0.15,2024-04-05,2,3
allenai/OLMo-7B-Instruct,1015,allenai/OLMo-7B-Instruct-hf,olmo_7b,0.35,0.37,0.01,0.27,0.38,0.18,2024-02-01,7,2
mistralai/Mistral-7B-Instruct-v0.1,1008,mistralai/Mistral-7B-Instruct-v0.1,mistral_7b_instruct,0.45,0.34,0.02,0.25,0.38,0.24,2023-09-27,7,
lmsys/vicuna-7b-v1.5,1005,lmsys/vicuna-7b-v1.5,vicuna_7b_v1_5,0.24,0.39,0.01,0.26,0.42,0.21,2023-03-23,7,2
google/gemma-2b-it,990,google/gemma-2b-it,gemma_2b,0.27,0.32,0,0.28,0.33,0.14,2024-02-21,2,3
Qwen1.5-4B-Chat,988,Qwen/Qwen1.5-4B-Chat,qwen1_5_4b,0.32,0.4,0.01,0.27,0.4,0.24,2024-02-04,4,3
databricks/dolly-v2-12b,822,databricks/dolly-v2-12b,dolly_v2_12b,0.24,0.33,0.01,0.24,0.37,0.11,2023-06-30,12,0.3
